,text
321,현재 위드코로나가 끝났으며 확진자 또한 급증하는상황이기에 어떤촬영문의도 받고있질않고있습니다 하지만 이점을 명백하게 적어놓질않아서 가끔 촬영문의DM을보내주신분들에게 실망스러운답변을드리게되어 죄송합니다 빠르게 수정후 따로 플랜은 다시 적어놓겠습니다!
322,"""백신패스 법적투쟁 불사"" 고3학생, 헌법소원 청구 예고…현재까지 400명 참가
https://t.co/UBra7TUwQ7"
323,나 지난 달에 마스크 떨어져서 100장짜리 지르면서 야 이제 위드코로나 하는데 오바하나? 아니다 우리에겐 황사가 있찌 하면서 질렀는데 오미크롱ㄸㅂ...
324,"백신이 안 좋은데도 왜 이렇게 하죠
브리핑] 방역패스 유효기간 6개월로…12월 20일 시행 
출처 : SBS 뉴스 원본 링크 : 
https://t.co/nNsLDM310T
https://t.co/nq6gRZlFr1"
325,"학원가 백신패스 반대하는 사람 은근 많네
부작용 이야기도 나오고 자유권 이야기도 나오고
...애들은 그런다쳐도 강사들이 반대하는게 좀 의외다"
326,오 백신패스관 아니네 굿굿 https://t.co/PaVH7WczEv
327,@sbwlffosem0930 백신패스 문제요!
328,"우앵,, 백신패스,, 나 지갑 안 들구댕기는데"
329,"국내 최소 5명 ‘오미크론 감염’…정부 ‘위드 코로나 중단’ 검토
https://t.co/NFli9pi4R5"
330,"#신촌 #거리댄스 #거리공연    신촌, 거리,  케이팝댄스, 거리공연,  위드코로나, 2021년11월6일, https://t.co/biFW9X57UW 출처 @YouTube"
331,"부산, 위드 코로나 시행 후 지난달 일평균 확진자 42.4명↑ (출처 : 뉴시스 | 네이버 뉴스) https://t.co/yEM4PqvFEl"
332,"독일🇩🇪 ""백신패스"" 소지하지 않았다고 경찰에 할머니 붙들림😑

백신패스 지지 = 나찌부역질
백신패스 지지자 = 나찌

개인이고 정치인이고 다 마찬가지 https://t.co/uG3utEcz4V"
333,@hanitweet 오세훈이 결국 중요한 시기에 사람들이 답답하던 시기에 물꼬를 준비 없이 틀고 그 신호탄이 계속해서 국제 정세와 함께 국민들도 위드코로나 하자 분위기가 굳혀져서. 당시가 한숨 고르고 병상 문제 지역 체계 문제 등을 줄일 수 있는 시기였다 생각함. 좀 천천히 준비해서했어도좋았을텐데너무아쉬움
334,영화관 전관 백신패스는 환영인데 대체 왜 취식을 풀어준건지는 이해가 안된다. 환기가 잘 되는 공간도 아니고.. 백신패스관 예매했을때 주변에서 뭐 먹는거 넘 신경쓰였어ㅠㅠ
335,위드코로나를 할 수없는 국민들
336,"세븐틴
백신패스로 영화보러갔다가
팝콘이랑 먹을거에 8만원 썼다는 썰
왜이렇게 웃기지"
337,"나는 적어도 단계적일상회복 한다 했을때...
아 내년엔 다시 행사장가서 웃을수있것지
생각했습니다만...
.......
이 개씨발새끼들아 https://t.co/6Ywyi9xHkD"
338,‘단계적 일상 회복’이라는 표현보다는 작년 봄에 나온 ‘생활 방역’이라는 표현이 지금 시점에 더 잘 맞는 거 아닌가 싶고…
339,@Engine_cos ㅠㅜㅜㅜ제 테스타는 망했다구욧!  엔진님 테스타보면서 히죽거릴거란말이예요ㅠ0ㅠ!! 진짜위드코로나 망한거 같아서 눈물이예요...ㅠㅜㅜㅜㅜ
340,"백신 접종 강요, 백신 패스(백신 미접종자 패널티)를 없애주세요 &gt; 대한민국 청와대 https://t.co/KDqyIVLkrV"
341,확진자 오천이 위드코로나 효과인가요
342,"@nownet1117 @windskyrun 현재 백신패스 관련 정책을 만들고 적용하는 사람은 안철수가 아닙니다.

저 또한 백신패스에 대한 안대표의 입장에 많이 궁금했던 사람이고

안대표가 부작용에 대해 외면하거나 모르고 있지 않다는 것에 안도하고 있습니다."
343,도서관 백신패스하는거보니까 이번주말부터 알바갈거 ㅈㄴ 걱정된다
344,"코로나 백신패스 시민걷기대행진
12월 12일 일요일 오후 4시 
대구 대백광장 

https://t.co/TPXWSpOJyR

#대구 #대구시민 #추가접종 #반대
#백신패스 #시민걷기 #대백광장
#네이버 #교복 #키즈 #아이들 #자유 https://t.co/W7Kt7xft3Y https://t.co/ND8n6rXCu2"
345,오늘부터 학원 백신패스 적용했는데 (이번주는 계도기간) 백신 안맞아서 학원 못온다고 환불한 사람들 되게 많았대 아
346,다들 백신패스 하는군 내가변석 안썰리는거맞지…?
347,근데 백신패스 전 좌석 다 포함이에요 ?..
348,CGV 광고 풀부킹이네… 위드코로나 시대얌
349,"위드코로나가뭐림
그냥위드데스게임임"
350,백신패스 ㅅㅂ https://t.co/7znPAvMNzP
351,"촛나 속상함 ㅠ ,, 
왜 갑자기 다 백신패스..? 
정말로 영화관에서 발생하는 감염을 막고싶으면 음식물 섭취를 못하게 하세요 …… ㅠ https://t.co/qczL4fyeCr"
352,"@leeshape1029 어차치 무료고
안맞는거보만 맞는게 나을거같아서
더군다가 3차접종일 기준 2차접종 170일 후라
백신패스 쓸려면 맞아야됨"
353,"그리고 이건 어제 본 마마무 콘서트!
더 뮤비.. 이름이 매우 길다..
한창 덕질할때가 있었는데 긴 휴덕중..
이런거 나와주면 너무 감사하죠..💕
보고 너무 좋아서 무대인사도 갈까했는데.. 백신패스관에 거의 매진이길래.. 무서워서 패스함.. 아쉽긴한데.. 더 좋은때가 있겠지..🥲 https://t.co/YtQ3O3yVtV"
354,독일엔 150~350유로 가짜백신패스 발급해주는 사기가 극성이라고함. 진짜 한심하다. 백신 맞으면 될일을 가짜패스까지 사기꾼들한테 속아가며 발급해 다닐일이냐고.. 왜 안맞냐고 왜??
355,"문대통령 ""오미크론 위험성 커져 단계적 일상회복 순탄치 않아""https://t.co/CqWck53CS6"
356,"-제천가스트로투어 네이버 포스트 여행분야 1위에 올라-

 제천 ‘가스트로투어 미식관광 상품’ 이 출시된 지 1년 만에 위드코로나 발표와 함께 11월 한 달 이용객은 400여명으로 지난 1년 월평균 대비 이용객이 700%이상 증가.
충청권 대표 미식관광 상품으로 자리매김했음을 증명해 냈다. https://t.co/7wino95kJW"
357,확진자수 이렇게 는게 정부탓이야? 위드코로나(단계적일상회복) 한다고 잠시 풀어줬더니 3주만에 확진자수 두배만든게 정부탓임? 정부가 한거라곤 규제 조금 풀어줬는데? 여태 방역잘한게 시민덕이 아니라는소리임ㅋㅋㅋ 수치가 보여주잖아요.. 영화제에서도 굳이 노마스크;
358,아..백신패스어쩔...
359,아니 조금 억울한게 내 생계를 위해 일과 공부를 쉴 수 없었고 그래서 접종 계속 미뤘던 건데 부작용 때문에 못 할까봐 이제 잠깐 여유로워서 접종 천천히 맞고 지인들도 오랜만에 보려했더니  다짜고짜 미접종자 나오지 말래… 위드 코로나 하면서 어느정도 예상 했어야했고 이런 공지는 시간을 넉넉
360,"엥 뭐야?
왜 다백신패스관임????
나 2차 22일인데
엥 나좃댓나?
엥?
아시발장난똥때리지마ㅠㅠ https://t.co/xaERscjIUS"
361,"백신 접종후 사망자가 많이 나오면, 백신과의 인과성을 찾아야지. 
정부가 나서, 인과성 없다고 덮을 일인가?  그럼 백신 패스 같은 걸로 접종을 강요하면 안되지

415부정선거도 통계학 원리에 따라 일어날 수 없는 확률로 증명되었으면, 조사해야지. 덮을 일인가? 이미 재검표에서 많은 증거 나왔다 https://t.co/9Pvh1J08ga"
362,"시흥시, 일상회복을 위한 특별방역대책 민˙관 협력회의로 소통하다: 시흥시는 지난 7일 시흥시청 글로벌센터에서 코로나19 일상회복 지원을 논의하기 위한 민·관 협력회의를 통해 일상 속 방역 강화에 더욱 힘쓰기로 했다.이번 회의는 단계적 일상회복 추진과 관련해 경제?사 https://t.co/AVQJSzBRBR"
363,스ㅍㅇㄷ맨3 백신패스관 전부인거 실화냐고  ㅂ미친 백신 안맞으면 영화도보지말란거야 뭐야 아니이게 차별이아니라고?
364,"결국 전면적 백신패스 청소년에게도 적용 ""충격""
https://t.co/MsuXabBHPD"
365,@Paspalle 퇴근은 했으나 밖이라는 슬픈소식인데요~ 이따 위드코로나 끝나는기념으로 밥약속 가기로함 ㅠ
366,앰개는.. 백신패스 관련 공지를 좀 주면 좋겠다….  전날에 주려나… 이틀전에 주려고.. 그러니..
367,"백신패스분쇄 범국민운동본부
전기엽 원장님 금요강의
생중계!
https://t.co/wfK2koWuMd"
368,"@2S_ZOr ㅠㅠㅜㅠㅜ네 ,, ㅠㅠ 백신패스회차인데 좀,, 어뜨케 안될지 ㅠㅠㅠ,, 흑흑 진짜 그날 아니면 졔 표 없거든요 ,,,😭😭 안썰릴 거예요 ㅜㅠㅠ그래,, 야합니다,,,ㅠㅜㅜ"
369,"#위드_코로나_시대,🧳#관광 에도 새바람을!

🙋‍♂️""백신접종 했지만 #비대면_관광 원해요~!""
🙋""백신접종하고 #국내여행 을 더 가고싶어요~!""

#안심 과 #디지털 로,
이제는 새로운 🧳여행을 준비할 때!

위드 코로나 대비한 #관광산업 에 변화가 필요합니다👆

#경기연구원 #인포그래픽 https://t.co/sPCfMUvoHt"
370,"백신패스없이 코로나를 통제할려면 
중국식 제로코로나 봉쇄정책밖에 있냐....
코로나 확진자가 생기거나 지나가면 아파트단지나 동네 빌딩 모두 몇주씩 대문을 용접해서 봉쇄하고 매일 모두 검사해야 하는데
이거 '내가 안 당하겠지'로 피할수 있겠냐....
https://t.co/XgfoIu6KFb"
371,"백신 미접종자, '혼밥'하거나 일행 모두 '방역패스' 보여주거나 (출처 : MBN | 네이버 뉴스) https://t.co/nLVVTLHXLC"
372,자칫하면 그럴 거 같아요 ㅎ......... 위드코로나 체험판 즐거웧습니다..... 이제 집에 있자 다들..........
373,"11월 30일 06시 (11월 29일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 32 명
[재원 위중증] 629 명
[신규 입원자] 577 명
[오늘 확진자] 3,309 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
374,"근데 백신패스 하면
그 머냐.. 거 .... 문진표 안하는거야?"
375,아이들 죽이는 백신패스 강제접종... https://t.co/XLy8TDESkz
376,@KoreaDCA 식당카퍽백신패스 ㅡㅡㅂㅅ꼴깝하네좆같은년정은경
377,"아 방역패스 진짜 짜증나 어딜다니라는거야
백신 맞기 무서운데 걍 강제잖아"
378,@sesesesese___ 위드코로나라도 주의 해야지 미쳤나바
379,방역패스? 지금 감염자의 접종자 비율과 백신부작용자에 대한 대책이나 마련하고 나서 방역패스를 논해야 하는 것 아닌가? 하여간 이 정권 빨리 끝내야한다. 징글징글하다 진짜 https://t.co/6UlcYO5Zs7
380,위드코로나도 그렇게 쓰지 말라고 해도 써제끼다 정부가 정식 요청하니까 그제사 단계적 일상회복(위드코로나) 쓰고 기사 제목은 위드코로나 그대로 쓰더라. 김영란법 민식이법 이런 표현도 못 쓰게 해야 한다. 타이틀 간명하게 뽑으려는 의도는 알겠는데
381,"하루 확진 6000명 넘긴다..밤 9시 이미 역대 최다기록 경신 | 다음 뉴스 

단계적 일상회복을 두고 너무 갑자기 풀어줬다는 인터뷰를 본 적 있는데, 
자영업자 죽어나간단 기사는 못보셨나 했고. 아무튼 난 일복이 터졌고. 

https://t.co/8eICtnpcDY"
382,"입국시에 백신 접종 완료자라고 자가격리 면제 해주다 오미크론 뚫린 교훈이 없다..... 변이 바이러스에 접종자 감염 프리 패스. 백신패스가 이런 거. 코로나 변이는 바이러스는 오미크론만 무서운 게 아닌데, 특히 단일 항원 백신 접종자.. https://t.co/UygTDye2Ke"
383,"아 뒤질것같은 카페알바생
1. 위드코로나: 매장손님증가
2. 배달: 코시국에 배달업체 3군데(쿠팡,배민,요기)로 배달했는데 배달도 치고 매장도 쳐야함
3. 일회용품금지: 설거지할거졸라만음
4. 6시이후어쩌구2차접종확인"
384,백신패스 6개월이라고...? 아놔...나 5월에 2차맞았는데...3차맞아야겠네....
385,그 있잖아요 백신 패스관… 2차 맞고 14일 지나야 갈 수 있는 거죠? 🥺
386,"백신패스는 찬성인데
미성년자애들 백신 안맞았다고 독서실이랑 학원까지 막는 건 너무하지 않나 청원 올라온 이유가 있었네..."
387,"#광주서구 #광주서구청 #코로나19 #단계적일상회복 #방역수칙 #개인방역 #시설방역 #특별방역 #일상으로 
최근 코로나 확산세와 관련해
일상회복 2단계 전환을 유보하고
앞으로 4주간 특별방역대책을 시행합니다
성공적인 단계적 일상회복을 위해서는
보다 더 철저한 방역수칙 준수가 꼭 필요합니다 https://t.co/6LFAOEV9p1"
388,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ..
꼬기‼️ 내년에는 꼭..🥩
아😢 백신패스..😭
드라이브는 좋은데..😭 속상하네요😭
시간 여유 되실 때 고고🚗 https://t.co/h0f7nzAXjy"
389,"위드코로나 되고, 2차접종까지 완료한 사람들이 많은데다 각 지자체별로 조금씩 기준이 달라서 늘 다시 확인해야할듯...."
390,"""무조건 맞아라"" 문재인 정부 청소년 방역패스 밀어붙인다...학교 방문 백신 접종 강행 예정 https://t.co/guNNsqmMpo 출처 @YouTube"
391,"‘위드 코로나’로 재개된 콘서트, 오미크론에 다시 비대면으로 (출처 : 조선비즈 | 네이버 뉴스) https://t.co/GW0ekry4ij 
@weareoneEXO #KAI #KAI_Peaches #Peahes"
392,"그냥 위드코로나 화끈하게 가버리고..
죽을사람 죽고 살사람 사는 오징어게임을 하지 그래.

살아남으면 돈 주는걸로 하자. 몰아주기!"
393,"태백시 일상회복 1단계 잠시멈춤, 방역패스강화: 태백시는 정부 방침에 따라 단계적 일상회복을 잠시 멈추고 방역수칙을 강화한다.시는 11월 1일 단계적 일상회복 시행 이후 오미크론 변이바이러스 국내 유입, 중증환자 증가, 병상가동률 악화로 인한 의료 https://t.co/60won1MTpu"
394,아파트 헬스장도 백신패스 하려나? 제발했으면
395,백신패스 장난하냐 진짜
396,"안철수가 백신의 중요성과 백신패스를 찬성하는 것이 현 정권 질병청과는 다른 결이기에 안심되긴 하지만

백신 부작용을 주장하는 이들의 상태가 심각해 우려를 완전 거두긴 힘든 것도 사실.

하지만 백신 관련 정책이나 부작용을 안철수 탓하는 건 논리상 현실상 맞지 않는 억지라 수용하기 어렵다."
397,아 헐 백신패스 벌써 적용되나?
398,그..백신패스? 개지랄하지마라
399,@cesium_02 백신패스관은 음식물 섭취 되..?
400,방역패스 땜에 전화가 오면....... 보통 다 백신 안 맞은 사람들이라.. 엄청 화나잇은 상태로 전화옴
401,"12월 06일 21시 (12월 06일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 41 명
[재원 위중증] 727 명
[신규 입원자] 681 명
[오늘 확진자] 4,325 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
402,"아니 위드코로나여도 100%안전한 방법이 없으면 알아서 몸 사려야 하는거 아님?
대체, 왜, 돌아다녀서. 변이바이러스, 옮아오는거임? 
바이러스 옮아오기가 취미임???"
403,"@moonriver365 백신 패스는 싸가지 없는 새끼가 시행하자고 한건데 지금이라도 무산 시켜.
불가하면 식당, 학원 이라도 무산시켜."
404,공지를 줘야지 ㅆㅂ 확진자는 방에 격리 되어있는 상태로 누워있는데 확진자한테만 연락을 다하면 동거인들은 정보를 어떻게 접하냐고 병상도 없는데 위드코로나 지랄해서 씨발 확산만 되고 잡히는 건 하나도 없고 당장 4시까지 알바가야되는데 확실하게 자가격리 하란 말도 없고 어쩌란거임
405,"백신패스 6개월 간당간당해서..
공연 못볼까봐  추가접종 바로 예약해버리기 조금 ..무섭네^^"
406,일본도 하는데 하며 위드코로나 했는데 결과는 최악
407,위드코로나를 한다고 했으면 백신 접종자건 미접종자건 성인들이 더 조심했어야지. 상황이 이렇게 돌아가니 청소년들도 방역패스 들이밀지. 어린이집 학부모 백신 안맞고 놀러다녀와서 코로나 확진이라 어린이집 뒤집어짐. 선생님들 전부 접종하고 몸사리는데 욕은
408,공적으로 비즈니스 해야 할때는 좀 신경쓰여. 이제 백신패스해야하니깐
409,청소년 방역패스 반발 커지는데 정부 ＂백신 맞아달라＂ 또 권고 #MToday https://t.co/bijtlxts7Z
410,"https://t.co/AuAJax7LJU

사실상 위드코로나는 잠정 중단으로 갈 가능성이 높아진 상황입니다. 배달 관련주들이 그나마 저점인데 매물이 많아 쉽게 올라오기 힘든 자리도 많이 보입니다"
411,"고1아이 지난주시험끝나고
동생한테 목감기옮은것+시험고생주간
어제부터아프다
오늘 학교 안보냄 푹재우고 영양제 먹이고
또먹이고재우고 반복중
병원갈껀데(제출용) 약먹일 생각은없음~바로위 동생이 1-2틀아프다
영양제 평소2배 먹이고 푹쉬게하니
거의 나았거든
백신패스?
학원,학교 안보냄 그만임"
412,저거 백신패스관? 이런 거에서 나왔나보네
413,@sSeo_Ry_ 8ㅁ8... 위드코로나... 중단시켜라... 정부야...
414,@myBae_XIA ㅠㅠㅠㅠㅠㅠㅠㅠ백신패스는 막콘만 쓰겠다...목요일에 검사 받으러 가야겠오ㅠㅠㅠㅠㅠ
415,"#칠곡군청 #단계적일상회복거리두기 

안녕하세요. 칠곡군청입니다 :)

2021년 12월 6일부터 2022년 1월 2일까지 시행되는
단계적 일상회복 거리두기에 대해 안내해드립니다 ^^

🧡 9인 이상 사적 모임이 금지되니 참고해주세요! 🧡 https://t.co/p3eUv8r3Qr"
416,"⚠️결국 전면적 백신패스..청소년에게도 적용 ""충격""
https://t.co/eyPCbbMpLX
➡️응.안가면 돼❗자영업자들 정신차릴 수 있는 기회될 것❗"
417,"하지만 그 두려움보다 백신을 맞아서 얻을 편익이 더 크다고 계산했기 때문에 맞은거다. 마찬가지다 우리 모두 그런 계산을 했고 그런 리스크를 감수하고 맞았다. 나도 마님도 접종후 약간의 사이드이펙트라고 느끼는 증상들을 겪었다. 그걸 감내하고 맞은거다.
자. 이제 백신패스를 거부하는"
418,"방역패스 위반 시 과태료는 13일부터. 이용자는 위반 차수별 10만원, 관리자·운영자는 1차 150만, 2차 300만. 방역지침 위반 1차 10일, 2차 20일, 3차 3개월 운영 중단 명령. 4차례 위반부터는 시설 폐쇄 명령

거의 백신 파쇼다.

https://t.co/Tbj5B3IT5l"
419,"@hongi47119598 @kuni_luv 앗! 그럼 쌤 12일 이후 가변은 백신패스 적용되면 안썰리는 거래요? 대박적!!!!!!
쌤 다행이에요!"
420,@parksunhaaa 가장 좋은 건 서로가 조심하는 거라 생각하는데 위드코로나 적용 타이밍을 잘 조율못한 정부 잘못도 어느 정도 인정해야할 것 같고 솔직히 좀 복잡한 마음이긴 해요 백신 접종은 사회화의 과정이 되어가고 사회는 언제나 그렇듯 이념의 충돌이 당연한 거니까..
421,"백신패스만세!   문두환만세!

//

부산 60세 이상 고령층 

             돌파감염율 86.4%

 (출처 : 프레시안 | 네이버 뉴스) https://t.co/ubAbJNj3kB"
422,"※단계적 일상회복 2차 개편 유보, 특별방역대책 실시(11.29.~12.26. 4주간) https://t.co/8P5WnmxHuW"
423,"단계적 일상회복 시행되고 난 후에도
나는 딱히 생활반경이 늘어나지 않았는데 대체 이 많은 확진자는 어디서 나온겨.."
424,헐 이제 상영관 전부 다 백신패스구나;;
425,백신패스관 불안해 보이더라니;;
426,@Hederii ㅇㅇ 그래서 헬스장 사람들이 아예못들어가서 환불러쉬하고 시위하고 그랬져 노래방도 안맞으면 못가고ㅇㅇ 음식점도 백신패스포함 인원확대되고 그런거있다가 이제는 어케됐는지 모르겠음
427,아놔 백신패스때문에 렙카 표 잡아둔거 어케될지 모르겠네...기말고사 끝나고 천천히 맞으려고 했는데 이렇게 될줄이야🤦‍♀️
428,진짜 맘카페에서 백신패스가지고 헛소리 하는거 실화임? 그 지능으로 애를 낳았으니 애들이 똑바로 자라겠음? 소수가 목소리 겁나 커 쯧
429,백신패스 어른들은 그렇다 치더라도 애들은... 이라고? 그럼 어른들은 백신 부작용 겪어도 괜찮다는 소리?
430,백신패스 양도표라도 실관람자 기준이라 신분증이랑 쿠브 내거 보여주면 되는 거겠지..?
431,당연하다. 정부와 방역 당국이 영혼을 갈아 넣어가며 타국 대비 확진자수나 사망자수 획기적으로 낮춰봤자 고마와하기는커녕 방역수칙 안 지키고 백신 거부하고 백신 패스가지고 지랄하고…그냥 민생이나 챙기자. 조심 안해서 코로나 걸린 모지리들 디지거나 말거나. https://t.co/JKckYTlC8z
432,"학습권, 개인의 자유 만큼은 보장해달라 학원 독서실을 왜 막아 시발 백신 패스 방역 패스 철회하고 실효성 있는 정책 펼쳐라 술집 식당에서 여럿 모여 사람들 웃고 떠들고 난린데 씨발 마스크 쓰고 공부만 하는 공간을 왜 못가게 해"
433,"12월 05일 13시 (12월 05일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 43 명
[재원 위중증] 744 명
[신규 입원자] 800 명
[오늘 확진자] 5,128 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
434,"김 총리 “연말까지 오미크론 대응·백신접종 가속화 등 방역역량 집중”  “방역패스, 감염위협으로부터 미접종자 보호하기 위한 조치”[시사타임즈 = 탁경선 기자] 김부겸 국무총리는 6일 “정부는 연말까지 오미크론 대응, ... https://t.co/HUVdQPEvSd"
435,"연말이 다가 오니 어수선합니다.
코로나 확진자가 5천명이 넘으니 위드코로나는 포기했다고
하는군요.
건강조심하세요.~^^ https://t.co/pFaGy9A3vt"
436,"3부: 1,139원 水백신 접종」 「백신패스」 강요에 대한 세계적 저항! 한국은 왜 이리 조용? 백신 사망 유가족만 저항 (202... https://t.co/J7hcOxtxaI 출처 @YouTube"
437,"💜프라우 생일 카페의 백신패스 관련 출입 안내입니다!

본 행사는 정부에서 실시하는 지침을 따릅니다. 적극 협조 부탁드립니다. https://t.co/9pOeOXXLNJ"
438,마스크 없다고 징징 두장 준다고 징징 다섯장 준다고 징징 필요없다고 징징. 백신 없다고 징징 아스트라 위험하다고 징징 화이자도 위험하다고 징징 이젠 맞기 싫다고 징징 백신패스 싫어 징징. ㅅㅂ. 다 큰 어른들이 쪽팔리지도 않냐. 드라마에서 이런 짓하는 애새끼들 나오면 쌰대기 날리고 싶던데.
439,@yukari2k18 위드코로나때부터 미쳐..
440,"백신패스
(일명 방역패스) 
다시 한 번 결사 반대합니다 &gt; 대한민국 청와대 https://t.co/w2iqyXKdBk"
441,이야 도서관도 내일부터 백신패스^^.. 이용자 항의들어오겠지?
442,올해 대학 축제들이 위드 코로나 이후로 진행돼서 그런가 시기가 늦네… 12월에 야외 공연이라니 넘 추워보여 🥶🥲
443,@daily_volcano ㅋㅋㅋㅋ 백신패스관이라 맘놓고 가는걸까여...🙈
444,'단계적 일상회복'이라는 이름으로 사실상 백기를 들었고 급기야 병상이 없어 확진자들에게 재택치료를 강요하는 지경에 이르렀다. 이제는 인디언 기우제마냥 효과도 의심스러운 백신만 거듭 맞으라고 주문을 외우는데...과연 코로나 극복을 위해 쓰는 예산이 무슨 의미가 있을지?
445,"아.. 미자 백신패스 ㄹㅇ 미치겟네
나 백신 안 맞으려 햇는데
스카도 백신패스 들어가면 어쩌지"
446,"@hellopolicy 방역은 질병청 소관이니
총리가 설레발이치며 방역완화
위드 코로나같은 것 좀 제발!!!
오죽하면 대통령이 직접 나서서
한마디 하게 만들어?
정세균이고 김부겸이고 썅!
전임 이낙연 총리 
1/10만이라도 닮아봐라!!!

https://t.co/Dvgi2Q5wzS"
447,백신패스인 공연 양도해도 상관없죠..? 예매자랑 실관람자랑 달라도 실관람자가 증빙만 가능하면 괜찮겠죠..?.....
448,독서실도 백신패스네 하긴 같은방사람이 기침계속하고코훌쩍거리면 준니살떨림
449,6천명 에바야.... 의료진은 늘 비상걸리는데 먹으러 다닐 사람은 다 다니고 놀러갈 사람은 문화생활 다 즐기고 하겠지... 위드코로나가이런걸원한거냐
450,@anzu_mamang 위드코로나가 온리코로나가 되는 매직
451,백신패스 할게 아니고 마스크 미착용 처벌을 강화하고 신고할 수 있는곳을 만들어라고...마스크만이 완벽한 백신이자 예방법인데 정부 병신이야 뭐야 진짜ㅅㅂ;
452,"?
백신패스관 싫다고 왜이거밖에 없냐고 https://t.co/lcWM1zqYu9"
453,백신패스 짜증나 ㅅㅂ 나 원래 백신 안맞을라 그랬는데 포항공대 3박 4일도 못가고 학원도 못가고 스카도 못 가게 생겨서 다담주 월에 아침 일찍 맞고 학교 간다 ㅅㅂ
454,우와!우리 지역 하루 확진자128명이래!!!ㅎㅎ 우리구도 엄청 많이나왓다!!내가 다니는 학원들 중 두 학원에서 확진자 나왓다!!난 음성이지만..흐앙..무섭다 위드코로나라고 우리 학교까지 확진자 나왔는데 위드코로나라고 학교간대!!와 샌즈티비!!!
455,"""무조건 맞아라"" 문재인 정부 청소년 방역패스 밀어붙인다...학교 방문 백신 접종 강행 예정 https://t.co/vgJvHbiwCA via @YouTube"
456,"""실패한 위드코로나 멈추고 방역강화·취약층 지원책 시행해야"" /""정부는 성급하게 위드코로나로 진입하면서 자영업자들과 취약한 사람들의 어려움을 이유로 삼았지만 다른 나라에 비해 턱없이 적은 코로나 대응 재정지출이 진정한 문제였다"" https://t.co/YSa1vQYL52 https://t.co/WS2dOParQ7"
457,"언론들 다른 나라 위드코로나 한다고 왜 안하냐 난리치다니 하니까 위드코로나때문에 확진자 는다 난리. 언론의 역할이 그게 아닐텐데. 
모든 소란의 원인이 언론인건 너무 이상한거잖아. 소란을 취재해야지 셀프 소란 일으키고 다니고…"
458,@seogwa_7110 정작 제일 위험해보이는 놀이공원이나 마트 같은 건 백신패스 안 걸린다네용...
459,"12월 09일 00시 (12월 08일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 63 명
[재원 위중증] 840 명
[신규 입원자] 860 명
[오늘 확진자] 7,175 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
460,@0_0_ei 호ㅓㄱ실히 고민은 해야할 판이긴 함 백신패스였던 지스타에도 확진자 나왓으니
461,아 ㅁㅊ??? 나 아직 2차 안맞았는데 영화관 전관 백신패스관임??? 스파이더맨...영화관에서 못 봐...?ㅠㅠ
462,@sbwlffosem0930 불확실한 백신을 맞으라고 강요하고 개인의 자유도 침해하는 신뢰를 잃은 문정부가 말하는 방역패스에 대한 거부감이 상당히 큽니다. 그런데 안대표님께서 거기에 확대를 언급하시기 보다 바쁘시겠지만 다른 전문가들과 더 협의하셔서 다른 대책을 가지고 나오셨다면 민심이 안대표님에게 움직일 수도
463,역시 이 시간에 오길 잘했다. 혼자서 전세 낸 영화관 ^^ 근데 그 변종 바이러스 때문에 백신패스 상영관임에도 취식이 다시 중단 됨 ㅜㅜ 팝콘 먹으며 봐야 제맛인데 ㅜㅜ https://t.co/Osg716KDtn
464,"위드코로나한다해서 좋아했던게,,.얼마 안된거 같은데,,,,오프콘만 바라고 기다리는데 상황이 자꾸,,,속상하다🥺"
465,위드코로나는 시기상조였음
466,"전무후무 살인정권🔥, 개돼지 위드코로나로 풀어주고 확진자 확 올려서 백신패스 할려고 했던거지📌

사적 모임 ˙수도권 6명까지˙…식당 · 카페에도 ˙방역패스˙ 확대 https://t.co/GLAdSVDTF1 

수도권은 현재 10명에서 6명으로, 비수도권은 12명에서 8명.. 미접종자는 1명만 포함

청소년 백신패스📌 https://t.co/UWgzep60ph"
467,백신패스 적용하네...
468,"@120seoulcall 네, 부탁드립니다. 서울시라도, 위드코로나를 중단 시켜주시길 부탁드리겠습니다. 그래야, 지자체가 함께 동참 할 수 있기 때문입니다."
469,그래서 12일 이후 가변석은 백신패스로 사는거지??
470,"[지금은계시록성취때]

신천지예수교증거장막성전
(Shincheonji Church of Jesus)에서 디테일한 요한계시록 전장의 사건증거하다!!
 (출처 : 위드코로나.. | 블로그) https://t.co/RmT7bCGryF

#요한계시록"
471,"@euiiuew 으이깅덕분에담주금욜에3차예약해떠고마오...... 
아픈건무섭지만백신패스는놓칠수업찌..🥺"
