,han_text
1048,사람들 제일 많이 몰리는 주로 대기업이 하는 백화점 대형마트 놀이공원은 내버려 두고 독서실 학원은 백신 패스를 한다니 학원과 목숨을 맞바꾸란 말인가
1049,  사회적 거리두기 단계 재조정 일상 회복 위드 코로나 사실상 잠정 중단 조치 
1050,탐라에 백신 패스 팝콘 가능한 걸로 아는 분들 많아서 올립니다부터 바뀐 지침으로 전 상영관 백신 패스 관로 운영하지만 상영관 내 모든 음식물 취식 불가입니다 단 음료 물주류는 가능합니다 
1051,뉴스 세계 뉴스 백신 강요 말라 청소년이 방역 패스를 반대하는 가지 이유 정부가 내년 월부터 세 청소년에게 방역 패스 접종증명 음성확인을 확대 적용하기로 하자 학생과 학부모 반발이 거세다
1052, 위드 코로나 시대 중장년 부부창업 매뉴얼
1053,내일 방역 패스 포함한 방역 강화책 발표  라온시큐어 정부 다양한 방역 강화책 논의 중 내일 중대 본서 발표 방역 패스 적용 확대 등을 포함하는 추가 방역 강화 조치 특징주 라온시큐어 정부 일상 회복 위한 백신 패스 도입 검토에 수혜주 기대감
1054,위드 코로나 중단 일부터 주간 모임 제한 수도권 명이 수도권 명 
1055, 연말 무대도 비대면으로 바뀌지는 않으려나요 이제 막 위드 코로나 시작했는데 아니 한 달 만에 이게 뭐야 ㅠㅠㅠ
1056,백신 패스 좋은 점 안티 백서 거를으수있음ㅎㅎ
1057,근데 이건 진짜 개인적인 의견을 전제하고 붙이는 거지만 단계에 준하는 조치를 시행한다고 해도 여기서 백신 패스를 받은 사람은 제외가 될 것으로 보임 중대본 측에서도 백신 패스 있는 사람은 체감이 약할 것이라고 이야기했으니 어떻게 할지 지켜보고 욕해도 이상하지 않다고 생각함
1058,아드리 더 안전한 백신 맞추려 미루고 있는데 진짜 맞춰야 하나 청소년도 백신 패스 적용한다니 더는 미룰 수가 없겠네
1059,아 프랑켄 어찌되는 거야 아직 백신 패스나 가변 취소 얘기 없죠 당장 나흘 후에 보는데 불안해 죽겠네
1060,이윤에 대한 집착은 한국에서도 사람들을 위험에 빠뜨리고 있습니다 위드 코로나로 중환자가 크게 늘었는데 병상과 인력은 충분히 준비돼 있지 않았습니다 재택 치료는 새로운 위험요인이 될 수 있습니다 위드 코로나 대다수 백신 접종에도 불구하고 위험한 도박
1061,안 대표 백신 패스 강화 인터뷰 보고 나만 실망한 게 아님 호의적이던 사람들 기대치에 실망을 줌 부작용 카페에도 인터뷰 내용 누가 올렸네 진짜 깝깝하네 ㅉ 
1062, 이러다 코로나 종식이 아니라 한 년쯤 뒤에 코로나 일반화되겠다 링 위드 코로나ㅋ 그냥 독감 수준으로 전락할 듯
1063,백신 맞아도 걸리던데 하고 다 같이 안 맞으면 되나요 그럼 만족인가요 백신은 선택이어야 하고 백신 패스는 차별이라는데 미접종자의 치명률 관리에 대한 대안이 있나요 맞고 싶진 않지만 걸렸을 때 나라가 재택 치료하라는 건 싫고 어쩔 티브이
1064,요즘 부모들 자기 자식한테도 백신 패스 적용해서 사실상 백신 강제화된 거 눈물 흘리면서 반대 시위하는 것도 처음에 자기들이 백신 미접종자들 음모론 충이라고 욕하며 백신 미접종자들의 권리를 침범해서 그런 거잖아ㅋㅋㅋ
1065,안지 여러분 안철수에게 현재 지울 책임의 무게를 조금 줄여줍시다 백신 접종과 백신 패스 페미와 번 페미 타당과의 정책 연대 등때론 데이터가 부족해서 아직은 그가 책임자가 아니라서 왜력 우리가 지식의 지평이 작아서 비평은 하되 비난은 자제하시기를 바랍니다 그가 보여준 헌신으로
1066,그 머냐 그 그 글 다음 주에 건강검진받으러 가기 전에 주민센터 가서 백신 패스 스티커 받아야지 룰루
1067,아니 위드 코로나 선언한 거 자체로 천천 그 이상까지 가도 그냥 키고 잉하겠다는 거 아니었냐 ㅋㅋㅋㅋㅋ 이제 와서 왜 시민 탓이야 자기들이 돌아다니라고 했으면서 개어이 없네
1068,백신 패스가 아니라 그냥 거리두기 빨리해야 할 듯 천명 실화야
1069,위드 코로나 한참 시작할 때 와츠굳 함 조져야지 하고  코로 들어갔는데 없어서 경악함 그리고 로켓도 없어서 턱 빠짐
1070,위드 코로나 하자던 인간들 나와 스트레스 
1071,백신 패스 반대하는 애들 제발 유럽 가서 외출도 못하길 기원함 갈 돈이 있을지는 모르겠고
1072,확진자 급증에 청소년 백신 패스 강행 해외는 출처    네이버 뉴스 
1073, 백신 맞으러 왔어 원래 안 맞으려고 햤는데 방역 패스 땜에 맞으러 왔어
1074,ㅠㅠㅠ 어떡하냐 ㅠㅠㅠ 제발 시간은 그대로 가고 백신 패스인 모임 제한 정도로만 갔으면 ㅠㅠㅠ
1075,이제부터 백신 패스를 통해서 백신 맞지 않은 자는 맛집 카페 박물관 같은 곳도 갈 수 없고 접종 자는 증명서를 지참하라고 하는데 나야 이미 두 차례나 백신 접종을 해서 문제없지만 만약 미 잡종이면 달라졌으려나  접종 때 의사분들 모습을 보고 뒤늦게 접종해서 미안했던 때가 있기도 한데 
1076, 아니 진짜ㅠㅠㅠㅠ 백신 패스 관 밖에 없엉유ㅠ
1077,다시 단계간대ㅋㅋㅋㅋ말했지 위드 코로나 개나 주라고
1078,나 조나 차 접종 고대적에 끝났는데 월 여태껏 부스터샷 연락 안 오다가 급 연락 옴 하일 정상 접종 완료 백신 패스 무효되고 나서 맞을 수밖에 없다ㅜㅜ 참 빨리도 연락 준다
1079,얼른 모든 영화관 백화점 등ㄷ이 백신 패스를 내주면 좋겠소
1080,학원도 백신 패스 적용할 거면 학교도 백신 패스 적용해라
1081, 그러니까요 누굴 위한 위드 코로나였나 스 ㅡ 와서 울 천명 진짜 확진자 급 올라갈 때 위드 코로나 시행도 너무 무리수였고 거리두기부터 뭔가 잘못된 것 같아요 유흥시설도 안 막고 대중교통 감소에ㅋㅋㅋ 너무 어이없는 운영  
1082,설컴아 너흰 백신 패스 도입 안 해 너도 나도 하는 거 보면 공연장 의무 아니냐 어떡할 거지 어떡할 거지 어떡할 거지 어쩔 생각이야아 하데스 보고 싶다 자연스러웠어 후
1083, ㅜㅠ 백신 패스 관 못 가시면 그래야겠네요 집에서 보는 것도 좋을 것 같아요 저 집에 나오면 한 번 더 보려고요
1084,미쳤냐 위드 코로나 당장 취소해 이러다간 다 죽어
1085,백신 패스 너무 귀찮다 다음엔 스티커 받아서 올래
1086,근데 되려 지금 교회는 다 백신 맞으라고 독려하는 분위기인 걸 왜냐 ㅋㅋㅋ 예배 자리 나오는 것도 백신 패스 제한이 있거든요 차라리 백신 맞고 나와서 대면 예배하라는 분위기인데 ㅋㅋㅋㅋ 안 맞겠다는 사람 나올 때마다 우리 목사님은  몸에 이상 없으면 빨리 맞으라고 독촉 중이 심
1087,위드 코로나 하면서 우리 회사 결국 뚫림같사무실 결국 한 명 확진자 나와서 어제 퇴근한 거고 그 사람이 옆 회사 사람한테 결국 옮겼대 ㅋ 옆 회사는 내일까지 자택 대기임 그 사람이 또 옮겼을지도 모르는 건데 어휴 바보들
1088, 위드 코로나 좋아하는 국민들이 만든 이 상황에 대한 책임은 누가 지나
1089,미국 그리 좋아하는 분들이면 좀 미국이 왜 청소년 백신 패스 강화하는지 들여다보든지 카톡 가짜 뉴스 볼 시간에
1090,저 쏘아온 극장에 사 보려고 백신 패스 깔았다고요ᅳᅳ
1091,오늘부터 프랑켄도 백신 패스 적용되나요 환장하겠네
1092,산부인과에서 출산 후에 맞는 게 좋겠다고 해서 의도치 않게 아직 백신 안 맞은 사람이 됐는데 백신 패스에 불만 가지는 사람들 이해가 안 된다 무섭지도 않은가 백신 안 맞고 그렇게 돌아다닐 생각하는 더 흠
1093,위드 코로나 일상 회복 이런 거 의미 있어 당장 다시 규제에 힘줘야 할 것 같은데 게다가 정권 교체 일 안팎 겁난다 오세훈이 만든 서울처럼 될 것 같은 예감
1094,백신 패스일 명 방역 패스 다시 한 번 결사반대합니다 부작용도 많고 사망 위험도 있는 백신을 강제 접종하냐 차별 금지법 만들던 사람 어디 갔음 백신 패스 백신 패스 반대 백신 패스 결사반대 미접종자 미접종자 차별  
1095,학원 그다음은 유치원 방역 패스 뒤 불신을 보라 광화문에서 이서현 출처  동아일보  무능한 정권의 거짓말이 백신 불신을 확산시켰다 
1096, 아빠라 님 격리 면에서 신청하시면 백신 패스 관련 없이 일단 격리 기간 없이 방문할 수 있어요 링크에 있는 기사는 국내 예방 기준이고 만약 해외 부스터 샷이 격리 면에서 조건으로 인정되면 적어도 일격리 안 해도 되니까요  
1097,일하고 있는 사무실 건물이 백신 패스 적용 건물이 되어 본의 아니게 이런저런 이유로 미접종자를 알게 되는
1098,극장마다 미접종자 못 들어가 나 문의 빗발 귀국하려던 교민 유학생들 현지서 발 묶여 출처  동아일보  네이버 뉴스 전문가들은 방역 패스 확대보다는 병상을 확충하고 고령층 중환자를 줄이는 게 급선무라고 지적한다 백신에 집착 중 모른 척 중 ㅉㅉ백신 백신 패스
1099,방역 패스 이 무식한 정권이 코로나 초기에 막지 않아서 이 나라는 코로나 파티가 됐다 이제는 방역 패스 ㅋㅋ너희들이 백신으로 죽인 사람들이 몇 명인지 아나 백신과 인과성도 인정하지 않는 무식한 정권이 감히 백신 패스를 한다고 문재인은  코로나 초기 해외유입 안 막은 죄로 깜방행 
1100,집 없거니 개봉날에 보고 와야지 백신 패스 관 같은 건 물 건너간 거 같고 그냥 꽁꽁 싸매고 영화만 보고 나와서 맛있는 거 먹으러 갈 거야
1101,백신 패스 반대한다고 당당하게 떠벌리는 인간들은 본인이 되게 합리적이고 이성적이고 정부에 무지몽매하게 따라가지 않는 똑똑하고 깨어있는 시민이라고 생각하는가 본데 그냥 본인의 무식함을 떠벌리는 꼴 밖에 안된다고 본다 백신 안 맞았으면 다중이용시설 당연히 오지 말아야 하는 거 아님
1102,방역 패스 진짜 할 거면 교회나 제대로 막았으면 좋겠네요 저는 과거 질환을 앓았던 기저질환자로 백신을 쉽게 맞을 수 없습니다 근데 그 상태로 다 모든 걸 막으면 강제로 맞추게 하는 것일뿐더러 안 맞으면 학원을 못 간다 하였는데 맞지도 못하고 고을 바라보는 저 같은 경우는 어쩌라는 거죠
1103,방역 은 일본처럼 하는 거임 방역으로 국뽕 짓 할 게 아니라 저긴 백신 패스 도 강제로 안 함 방역 은 일본처럼 하는 거임  방역으로 국뽕 짓 할 게 아니라 저긴 백신 패스 도 강제로 안 함
1104,헐랭 백신 미접종자 명이 함께 어디 가는 건 절대 안 되네 식당이랑 카페도 다 방역 패스 걸렸으니까 차 진작에 맞을 걸 귀찮다고 미루다 좆 됨
1105, 이런 잘못된 방역 패스가 문제임 사람들에게 잘못된 사인을 주게됨돌파감염이 일상화되었는데 방역 패스를 하려면 백신을 접종했건 안 했건 검사 음성확인서를 받고 나서 일 이내만 출입 허용하는 정책을 펴야지 방역 패스 시행과 확진자 급증에 어떡한 상관관계가 있는지 연구해보시길
1106,위드 코로나 대체 왜 선언했던거임ㅋㅋ
1107, 야 이게 뭐람 예매할 때 백신패스관이라고 안 적혀있었어
1108,이거 맞아  진짜 위드 코로나가 아니라 코로나 증식 프로젝트였던 겨
1109,백신 패스 결사반대 만명 동의 얻어낸 고의 분노 청원 출처  중앙일보  네이버 
1110, 백신 패스 얘기 엄청 많던데
1111,근데 방역 패스일 때 백신 완료 증명하는 앱 말고 신분증도 있어야 해요
1112,헐 미친 오늘 확진자 천 넘었대 미쳤나 봐 위드 코로나라더니 명에도 꺅꺅거리던 시절 어디 감
1113,학부모단체 청소년 백신 접종 자율로 해야 방역 패스 철회 촉구 애들이 가장 안전하게 어서 백신 맞춰야 한다고 생각하는 게 참부모가 맞는 게 아닐까
1114,위드 코로나 이후 한국만 치명률 역주행 지난 일 기준 우리나라의 코로나 치명률 월일 이전 주일 확진자 수 대비 월일 이전 주일 사망자 두 은로 주요 국가 미국 일본 독일 영국 싱가포르와 견줘 가장 높았다
1115,수원 관 석 백신 패스 관
1116,크리스마스 당일에는 모태신앙인 친구들 덕분에 가족끼리 보내고 그 다음날에 백신 패스 간에서 팝콘도 뜯고 보드게임카페에서 손목이랑 머리 작살내고 방 탈출 카페에서 육두문자와 힌트의 소중한 분이 얼마나 긴 시간인지를 배우고 올 예정입니다
1117,원래는 정치에 별 관심 없었으나 이렇게 피부로 와닿게 내 삶에 제약이 걸리는 걸 체험하며 그 중요성을 여실히 느끼는 중 근데 둘 다 백신 패스 관련해서는 별말이 없어 조심하느라 그런지 다 필요 없고 무용지물 백신 패스 안 하겠다 하면 무조건 뽑는다
1118,  청소년 백신 접종  방역 패스 어떻게 생각하십니까   뉴스 청소년이 코로나 면역이 저절로 생기면 방역 패스가 필요 없겠지 집단감염의 위험 때문에 백신 접종이 필수인데 안아 키 같은 학부모로 인해 학교가 위험해진다 
1119,아니 근데 아무리 봐도 백신 패스랑 검사 에 반데 현재 만 세인 인간은 백신 차도 안 맞았고요 일까지 차 절대 불가 검사 이것이 간 이내에 예
1120,그럼 지금 모든 뮤가 백신 패스인 아닌가
1121, 확진자 더 나오지 않을까요 위드 코로나 안 바꾸는데 ㅎ 조심스럽지만 그대로 가면 두 배는 더 나올 거라고 봅니다
1122,저는 국민 청원에 동의하였습니다 그러나 현대 만명 이상이 동의한 청원에 대해 언론과 정부는 그저 이러한 국민의 목소리를 투정에 비유하였습니다 심지어 이해할 수 없는 백신 패스 실행 장소들까지 저는 정말로 지금 이러한 상황 속에서 이것의 심각성을 모르는 국민들과 진심으로 호소한
1123,이럴 거면 백신 패스 관 왜 가 일 번 관에서 쾌적하게 보고 말지
1124,코로나 백신 반대 코로나 백신 패스 반대
1125, 잉 네 백신패스석 풀렸어요 언제요
1126,나 진짜 종강하고 친구들 얼굴도 보고 향 좋은 커피도 먹고 싶었는데 진짜 성급한 위드 코로나와 나쁜 사람들이 다 망침 으헝헝 나도 사람 보고 싶고 예쁜데 가고 싶었단 말이야 세이님이랑 방학에 만나면 드립 커피 맛 집 가려고 했는데
1127, 윤은혜 교육부 장관은 위드 코로나 시작과 함께 전면 등교를 알리며 분명히 말했다 학생들 백신 미 잡종으로 인한 불이익이 절대 없도록 하겠다고 분명 내 눈으로 발언하는 모습 뉴스에서 봄 확진자 확 늘어나니 이제 학생들 백신 패스 강행한단다 뭐 발표해도 언제 어찌 바뀔지 모른다
1128,일상으로 돌아갈 준비 그 첫 번째 방역 코로나 검사하러 선별 진료소 왔는데 줄이 어마 무시하다 한 시간 이상은 대기할 듯 위드 코로나가 중단되고 지역에서 감염자가 속출한다 어머니 돌아가시기 직전 진료 때 의사가 코로나 병상 때문에 입원이 어렵다고 했다 숨넘어가기 직전의 환자를 두고
1129,난 방역 패스 개 좋은 자유는 원래 차별적인 거임 선택에 따라 다른 자유를 주는 게 맞잖아 물론 심각한 기저질환 임산부 어린이는 논외로 접종자 미접종자 다른 조건을 두는 것 자체는 맞지 그리고 백신 패스는 미접종자도 보호하기 위함입니다 강제로 안 맞출 테니까 알아서 조심하고 집에나 있어
1130, 대통령님 청소년 백신 패스 취소해 주세요
1131, 위드 코로나 ㅇㅈㄹ
1132,백신 패스 영화관에서 할 시간에 오 프 공연장 알아보겠어 한심한 슴 같으니라고
1133, 오늘 백신 패스 확인하는 상영관 갔는데 큐알로 확인하고 그러진 않더라고요 더 허술하게 확인하는 곳도 꽤 있겠지 싶었어요
1134, 백신 패스 도입한다니까 차 접종자 한해서는 다 풀어주는 것 같네요 ㅋㅋ
1135,이게 방역이냐 민주당에 참 실망 백신 패스에 분노한 고 학생  매일경제 
1136,    자영업자들 또 눈물 위드 코로나 중단 검토    출처 
1137, 끝나진 않고 함께해야 되는데 위드 코로나   줸좡헐함내요
1138, 청소년 백신 패스 투표 좀 해주세요 현 재 찬성   반대 로그인 안 해도 됩니다 다들 와죠 
1139,하 씨 내일 계양에서 볼 수 있는데 백신 패스 간이네
1140,백신 패스 유감 
1141,속보 영화관 백신 패스 관 도입 한 달 만에 다시 취식 금지로 바뀌었다
1142,코로나 관련 지침 어떻게 되었나 기사 검색해 보면서 댓글 보는데 차까지 맞고도 돌파 감염되던데 백신 패스 말고 경제 살리면서 공존하는 방법을 생각해 내라는 댓글은 뭘까 그런 방법이 있을 수가 있나 있으면 본인이 알려주면 될 듯
1143,부 코로나 재앙떵당 뭉의 사기 독재 방역에 협조 안 했나 이준석 위드 코로나 협조도 쓰고 비대면 대선   출처 
1144, 위드 코로나 바로 취소
1145,단계적 일상 회복이라 써진 것을 코로나 프리로 읽고 그리 행동하니 코로나가 안 퍼지겠냐 
1146,청소년 학생 독서실 도서관 학원 백신 패스 방역 패스 강제 적용으로 학부모 걱정과 불만이 많습니다 오늘 총리는 방역 패스는 백신 미접종자 보호 조치라고 합니다 그 말에 웃음이 나는 건 왜일까요
1147,년 지기 친구들도 모임 오지 모 백신 패스에 부글부글  다음 뉴스  이번 주말 고등학교 동창 모임을 계획한 김 모 씨는 명이 모이는데 나 빼고 모두 접종 자라 친구들이 나만 오지 말라고 말하더라 하며 년 지기 친구들인데 접종 하나 때문에 이렇게까지 하나
1148,방역 수칙 변동 한 내일부터 공연장 백신 패스가 진행됨에 따라  주최의 모든 공연은 백신 접종 완료다 차 접종 후 일 경과 짜와 밀접 종시  검사 음성 확인서 소지자 시간 이내 진행한 검사만 효력 인정만 관람이 가능합니다이 어어
1149,부 백신 패스 강요하는 방역 사기 정권에 대해 국민이 전면 저항해야  정치분석  출처 
1150,위드 코로나 서바이벌 코로나
1151, 저도 방금 뉴스 보고 깜놀했어요위드코로나 자시고 할 때가 아닌 것 같아요ㅠㅠㅠ
1152,백신 패스 흐엉
1153,당장 나만 해도 백신 맞으라는 대로 맞았지만 방역정책이 작년 초부터 일관되지 못했던 것으로 인해 발생한 비용을 민간에 전가하는 정부 태도는 신물이 남 작년 이맘때는 정부가 섣불리 푼 숙박 및 외식 쿠폰이 대유행 불렀고 이번에는 위드 코로나로 또 대유행이지 
1154,문재인 대통령 대한민국 국가조찬 기도회 참석 오늘 함께 기도하는 공의와 회복은 지금 우리에게 가장 절실한 것입니다 단계적 일상 회복으로 가는 길이 순탄치 않고 신종 변이 오미크론의 위험성이 높아지고 있습니다 정부는 하루빨리 일상을 회복하는데 전력을 다하겠습니다 
1155, 일상 단계 회복은 안 하지만 위드 코로나는 하는 걸로 알아요 
1156,위드 코로나 이후 강원도 내 확진자 명 중 명은 돌파 감염 출처  강원일보  네이버 뉴스  백신 가치 없다
1157,위드 코로나로 확진자가 명을 넘었다고 한다 자 영업시간을 시로 제한했을 때 코로나가 밤에만 생기냐는 병신 같은 질문을 하던 새끼들이 답할 차례다
1158,학생들의 접종을 선택하게 하고 백신 패스 실시를 중단하고 코로나 감염과 사망을 낮추는 비타민 와를 보급하라는데 접종은 의무가 아니라 선택이고 백신 패스는 자신과 공동체를 위한 보호 장치고 백신 패스가 백신 접종 의무화는 아니며 비타민 와는 코로나 감염과 사망을 낮추지 않는다 
1159,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
1160,코로나 걸려 뒈져라 좆만한 새끼야 청소년까지 백신 패스 한심하다고 학생 분노의 청원 만 넘었다  다음 뉴스
1161, 네ㅜㅜ 백신 패스 관이라고 거기서는 먹을 수 있었어요
1162,식당 카페 학원 영화관 공연장 독서실방 박물관에 방역 패스하지만 돌파 감염 때문에 백신 접종을 당장 중단하고 손 씻기에 집중하는 것이 최선의 방역이다 한편 나라가 디비 진다 국정원 해킹 사건 빨간 마티즈에 연루된 신현수 민정수석과 체포되며 제거된다 많관부
1163,펌 저희 학생 학부모 인권보호연대에서 월일 백신 패스 반대를 위한 헌법소원 들어갑니다 흔쾌히 해주신다는 것도 감사한데 공익이라며 변호비까지 사양하신 류승수 변호사님 당신이 최고의 오피니언 리더이십니다 무료변론 류승수 변호사
1164, 진짜요 위드 코로나 시행되고 나서 어째 잠잠해지는가 했더니 더 심각해지기만 하고
1165,배달을 주로 하는 업장의 점주는 위드 코로나 때문에 요즘 힘들다 다시 방역이 강화된다고 해 기대 중이라 전하더라 해맑게 기대에 찬 웃음에 악의는 없겠으나 개인의 바람에 공동체는 공멸한다는 인식을 기대하는 건 무리였을까
1166,청소년 백신 접종 자율에 맡겨야 학부모단체 방역 패스 철회 촉구 출처  서울신문  네이버 뉴스 
1167,백신 패스인지 방역 패스 기준이 너무 정당하지가 않음 
1168,나 담 주 수요일에 백신 맞는 게 괜찮겠지 원래 맞을 생각 없었는데 방역 패스 그거 때문에 그냥 강제로 맞음
1169,그냥 그냥 직업상 요즘 진짜 힘든 시기고 위드 코로나 하면서 매일매일 코로나 환자 받고 코로나 검사하고 무한 반복하면서 엄청 지쳤었는데 어제오늘 이틀 덕에 힘든 거 다 까먹었어나의 시간을 함께해주는 사람들이 이렇게 멋진 사람들이라 행복하다
1170,지역 공공 도서관도 방역조치를 강화하면서 백신 패스를 도입했는데 백신 패스 반대자들이 우르르 몰려들어가 악플을 남기고 있다
1171,백신 패스 문제 많다
1172,국민의 안전한 일상과 건강을 아주 심각하게 위협하고 있는 집단이 질병 첨이다 백신으로 국민들을 사지로 몰고 있다 백신 장난질도 정도껏 해야 한다 백신 살인은 백신 패스 제도로 정점에 이를 것이다 이미 수많은 사람들이 백신 접종으로 죽거나 부작용에 시달리고 있다 
1173,위드 코로나를 섣부르게 왜 처해서
1174, 방역수칙을 준수하여 촬영하였습니다 코스어 전원 백신 접종 완료 주 후 촬영 위드 코로나 시행 직후 촬영 촬영 장소는 시설 사용허가를 받은 후 촬영하였습니다
1175,살인데 아직 차도 안 맞았으면 백신 패스 못 들어가 만세 미만은 백신 패스 지금부터 해당된다는 사람도 잇고 내년부터 해당된다는 사람도 있어서 헷갈려
1176,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
1177,백신을 안 맞으면 백신 패스 아니더라도 집콕해야 하는 건데요  
1178, 응 그래서 필수라며 강요해야 할 게 아니라 선택이 맞고 선택인 이상 백신 패스는 무분별한 차별일 건데 군중심리에 편승해서 언어로 제도로 폭력을 행사하는 사람들이 미흡해 보이고 안타까워
1179,스타뉴스가 진행하는 코로나 극복 스타 응원 메시지 릴레이에 참여한 원태인은 정부의 단계적 일상 회복 조치에 따라 팬들께서 다시 야구장을 찾아주셔 너무 즐거웠다며 다음 시즌에는 더 많은 팬들과 함께할 수 있을 것이라는 생각에 벌써부터 힘이 난다고 말했다
1180, 그니까ㅜㅠㅠㅠㅠㅠㅠ 어디가지말라고ㅠㅠ 위드 코로나니까 막 싸돌아다니지 말라고ᅲᅲᅲᅲ좀
1181,가평군 단계적 일상 회복에 주요 관광지 방역관리요원 활약   브레이크뉴스  
1182,확진자 수 실화냐 위드 코로나 한다고 했을 때 마음의 준비는 했다만 그래 더 나 좀 무섭다
1183,초 딸이 화이자 맞고 급성백혈병 형 제발 좀 부탁해요  다음 뉴스 아이들까지 백신 패스 꼭 해야 할까요
1184,해외 예방접종 완료다 확인서 발급 단계적 일상 회복을 위한 규제 혁신 예방접종과 안정적 일상 회복을 위해 최선을 다하겠습니다 더 안전한 더 나은 일상 우리에게 다시 코로나 단계적 일상 회복 예방접종 방역수칙 방역 패스 방역 예방 백신 질병관리청 질병청  
1185,위드 코로나가 코로나에 걸리기 운동이 아닌데 중증 환자들도 많고 죽는 사람도 늘어나고 있고 긴장들 좀 하시쥬
1186,미접종자 투정 받아줄 상황 아냐 방역 패스는 미접종자 보호 전략 이재갑 교수 일침 백신 안쳐 맞고 있는 게 벼슬하는 줄 아는 미친년 놈 정신 차려라
1187,신규 확진자 명 결국 돌파 위중증 환자도 사상 최대 종합 출처  파이낸셜뉴스 설익은 위드 코로나 대책으로 코로나 재앙이 나라에 달어졌다 전문가들 의견 무시하고 엉뚱한 짓거리만 하는 문재인 정권 마지막까지 재앙을 국민에 투척하는구나
1188,청와대 청원 백신 패스일 명 방역 패스 다시 한 번 결사반대합니다 출처  임종헌의    블로그 
1189, 자리 부족 에반데 링 에반데 아니 위드 코로나 해서 방심하고 천 확진인 것도 에반데 병상도 없으면 환자한테는 어쩔래 미인데 왜 거리두기 격상 안 했냐 왜
1190,그와는 별개로 자신이 많은 사람들을 만나고 비즈니스를 해야 한다면 선택지는 백신과 부스터 그리고 향후 나올 치료제 이외에 대안은 없음 투덜대는 것과 상관없이 기회가 될 때 백신 패스 연장한다는 기분으로 가야
1191,병상 부족 모두의 비극 누굴 먼저 살릴 것인가 뉴스 취재 후    코로나 초기에 병상이 부족하면 사람들이 죽어나간다고 그게 가장 중요하다고 이야기했는데 아무것도 준비하지 않으면 심지어 드는 생각이 위드 코로나로 사람들이 많이 죽어야 코로나를
1192,세 이하 백신 미접종자와 세 이상 부스터 샷에 총력을 다하고 백신 부작용과 백신 접종 후 사망자에 관한 대처 시스템을 대폭 개선해서 백신 접종에 대한 불신감도 줄여나가는 것도 병행되어야 하고 백신 패스를 보다 강화해 시행할 필요가 있다 일단 해이된 긴장감을 다시 높이는 것이 급선무다 
1193,발레학원에도 백신 패스가 시작되었다 그리고 코로나 이후 쇠퇴하여 수요일 반은 둘만 남은 우리 반의 나 말고 다른 분은 안아키 중단원 수업이 없어지게 생긴 나 이 학원 육 년 다녔는데 어디로 가야 하죠
1194,백신 패스가 미접종자 보호라고ㄷ ㄷ ㄷ ㄷ ㅈ같은 정부네 백신 패스 반대
1195,전국의 코로나 신규 확진자가 천 명대를 기록하는 등 확산세가 무섭습니다 대구경북 역시 단계적 일상 회복 이후 증가세가 뚜렷합니다 결국 최선의 방역 대책은 백신 접종과 개인위생 강화입니다 단계적 일상 회복 위중증 연말연시 방역 비상
1196, 악 내일 저도 붙이고 와야겠어요 오늘 갑자기 꿀로 이에서 문자가 왔더라고요 백신 패스 뭐 어쩌고저쩌고였는데 그게 저거였군옄ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1197,오늘 술집 주다 방 위드 코로나 기념 파격 창업 프로모션 진행  머니  강동완 기자  
1198,지금 상태에서는 백신 패스 전면 도입해야 할 때아닌가 백신 안 맞았으면 음성 확인서 떼면 되잖아 그거 귀찮아서 이기적으로 백신 맞은 다수가 다수라고 소수를 억압한다는 둥 가스라이팅 하면 안 되지
1199,위드 코로나 너무 괴로워 집에만 있을 때가 좋았는데
1200,궁금합니다 이런 상황이 올 줄 알았으면서 국민들 대부분이 예상 왜 그렇게 서둘러 위드 코로나를 했을까 궁금해졌다 다가오는 선거에 자영업자들의 지지가 그렇게 필요했을까 아님 정말로 상황을 쉽게 판단했을까  
1201,문화예술의전당 질병청 앞 삭발식 백인엽 반인권적 백신 패스 중단하라 중앙일보  젊은이들은 어차피 위중증으로 갈 확률이 도 안 되기 때문에 백신 접종을 강제할 필요가 없다 
1202,백신 패스로 생긴 일이니 모든 책임은 정부가 지는 것이고 감염자는 피해자로서 질청에 큰소리쳐야 정상인데 거짓말로 자기 무덤을 판다 이상한 일이지
1203,백신 패스 법적 투쟁 불사 고학생 헌법소원 청구 예고 현재까지 명 참가 
1204,환장하겠네 방역 패스 적용해야 하는데 팀 계약직 중 하나 백신 안 맞은 사람이 있네 거기다 부모님 차 접종 못 맞게 하겠다는 사람까지ㅠ 왜들 그러는 거야ㅠ
1205,좆같은 위드 코로나 같은 소리나 해싸니 이 꼴이나 지
1206,백신 패스 관 없어지려나 영
1207, 백신 패스 얘기 나와서 오늘 신청했어요ㅠ
