,text
1179,위드 코로나라는 말때문에 음식점에서 마스크벗고 계속 기침하는 애들이 생겨날정도로 경각심 제로 됐는데 죽을놈 죽고 살놈 살자판됐음 https://t.co/cbe2ql3jC9
1180,케빙신은 수신료 인상에만 몰두하고 그외에는 방치지!!!느그들 앞으론 공정방송 내걸고 데모할때 국민지지는 없다!! 알긋제???['위드 코로나' 직격탄? 방송가 또 확진자 속출 (출처 : 노컷뉴스 | 네이버 뉴스) https://t.co/atbmV0ObOR
1181,위드코로나라는 말 쓸수록 웃긴 것 같아 .. 코로나랑 연대하겠다는 것도 아니고
1182,@hyeng__onf 단계적 일상회복단계지 아직 일상회복 아닌데 왜이래.. 헹구 펴줘야겠다.. (잘생긴 사진 보내기) https://t.co/iBlqdodEg7
1183,"[평택시]확진자24명(타시민5명,평택시민19명)발생/단계적 일상회복을 위한 4대방역수칙을 지켜주세요! ▲예방접종완료▲마스크착용▲주기적실내환기▲유증상시 진단검사받기
#평택시 2021/11/15 17:04:33 #재난문자"
1184,"※ 18세 이하 미접종 관객 및 불가피한 사유의 백신 미접종 관객은 PCR 검사를 통해 음성 확인을 받아주시기 바랍니다.

코로나19 단계적 일상회복 1단계 방역 수칙 관련 자세한 내용은 예매페이지를 꼭 참고해주시기 바랍니다.

🐺"
1185,"위드 코로나로 위중증 환자가 급증하고 있는데요. 의료인력은 버틸 수 있을까요? 코로나19 최전선인 국립중앙의료원을 가 봤습니다.
https://t.co/gLEAtsKUWw"
1186,"확진자가 연일 기록을 세우는데
학생들의 전면등교는 무리수다
여기저기서 학생들 감염이 터지고있다
위드코로나로 계속 가기에는 위험부담이 너무크다
유럽도 최근 봉쇄가 다시 시작됏다
한국의료체계에서 5천명이상 확진은
붕괴를 불러온다
위드코로나는 잠시 중단해야되는 싯점이 다가온다"
1187,"임시진료소를 늘려라 학교의 대면수업도 줄이고 대교협은 실습 필요 시험 외의 시험을 비대면으로 하도록 해라
계속 위드코로나는 위험하다 사람을 해이해지게하는듯 https://t.co/x0QKA6Okvo"
1188,"‘위드코로나’로 소소티켓 할인 재개, 대학로 연극 활기 되찾아 https://t.co/TXepe8iewX"
1189,"보성군, 한국차박물관 위드 코로나 시대 체험 관광지 ‘큰 호응’ https://t.co/8VjBrkAnJ3"
1190,단계적 일상회복!!
1191,"[위드 코로나19]코로나19속 수능시험 보는 날

https://t.co/AvanHNWzl7

#코로나19
#수능시험보는날
#코로나19백신
#코로나19신규확진자"
1192,"@0923_lkl 관린아! 맛나게 먹어
할미는 회식가.....ㅠㅠ
회식은 시작 됐는데,
관린이보러가지도 못하는 XX  위드코로나
의미없다 의미없어"
1193,"https://t.co/C94LWRFhs0

https://t.co/mJvq9Yghno (박물관 공식 홈페이지)

https://t.co/M88DijjVk5 (서울시 소통포털)

전시 정보 | 서울 멋쟁이
서울생활사박물관 (태릉입구역 인근)
2021.11.19 ~ 2022.3.27
관람료 무료
단계적 일상회복 정책에 따라 현재는 별도의 사전예약 없이 관람 가능"
1194,"쉬파 위드코로나 개호로새키
울딸 또 검사하네"
1195,위드코로나 상황보고 이런결정 내린거라몀 이해가지만.. 12월 2일이면 이미 꽤 전부터 준비했다는 건가.. 근데 포스터도 없는거 보면 아닌거 같기도..
1196,@biyu_BB 모르겠어요..일반관이면 입장가능한데ㅜ아까 탐라보니까 백신패스관만 풀렸다길래.. https://t.co/wJeWRl7n7J
1197,"김동률의 음악은 이 시대 젊은 한녀들의
바이블이 아닌가?

여자들아 곧 위드 코로나도 아니고

모든 코로나가 물러갈 날들도 멀지 않았다
김동률, 박효신, 
너희들의 우상들인 선우정아, 영원한 여신 이소라

콘서트 열심히 다녀라?
또 디바 옥주현의 뮤지컬에도? https://t.co/VSpMxqbIrg"
1198,"ㅋㅋㅋㅋㅋㅋㅋ아 오늘 홈팀 퇴근길에
경호원이 박정현보고
""선수님 저희 코로나때문에 팬서비스 빨리해주세요""였나? 그랬는데
경호 가고나서 박정현이 팬섭해주면서
""이제 위드 코로난데 뭐..""라고 함
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ큐ㅠㅜㅠ아오
이 왕짱 멋있는 팬더를 어쩜좋아ㅜㅜ"
1199,서울시 확진자 늘은건 방역 못한거고 경기도 확진자 늘은건 방역 잘한거고?? 구체적으로 서울시 방역이 어떤걸 잘 못했고 이전에는 어떤 문제점을 언론이 과도하게 잡고 물어졌는지라도 설명해줘야 공감할거 아녀.. 위드코로나로 방역 풀어서 확진자 늘은건 고려 안하고? https://t.co/t609EIeiSo
1200,영화보기! 위드 코로나니깐 같이 앉아서 팝콘두 먹구 음료수도 먹으면서 영화보고싶어!!
1201,단계적 일상회복 그만하면 안될까 백신까지 맞았는데 확진자수가 이러면 심각한거잖아
1202,"나 진짜 ㄹㅈㄷ 짱나는데 어캄 ..
방탄 10월 공연 위드코로나 전이라고
온프라인으로 할 뻔한 거 온라인으로 하고
우리 콘서트 끝나니까 다른 아이돌들 케이팝 오프 풀림"
1203,4부: 준비 안 된 「위드 코로나」 인재…올 11월 코로나 청정국? 정권 사기에 「野」 왜 침묵? (2021.11.22) [정치분석] / 5부: 「오징어 게임」・「지옥」 세게 1위…韓 양극화 디스토피아 반영! 「욜 : https://t.co/c0au6rUTiF
1204,@Always_Mina1002 위드코로나라서 심해질거라고는 생각을 했는데 이정도까지 심해질줄은..
1205,간만에 시장에 나가 봤는데 위드코로나라고 사람들 음층 많네~~ https://t.co/TL5bANquzx
1206,@3amra_ ㅜㅜ맞아요 지금 시국에 하기도 눈치 보이죵 단계적 일상회복 3단계 이후로 가면... 그때나 가능할까요 🥲🥲🥲 나중에 행사장에서 한번 봬요 🥺
1207,"@cherry_iu_516 그치...이미 2000명 나오는데
위드코로나 하니 더 심해질수밖에.."
1208,@gyoom_MN 누가 위드코로나로 바꿨냐... 대면행사 많아진건 좋은데... 이건 싫어...😭
1209,"단계적 일상회복이 아니라 그냥 코로나랑 함께만 하는 느낌인디...진짜 말 그대로 ""위드 코로나""임..."
1210,@doridori_fore @djffnransml 더 큰 공연장=장충체육관이 공연전문장소가 아니라서 클래식 장르로 못 들어간 거 아닌가..라고 추측해봅니다~ 그래서 백신패스가 필요한 거 같다는 생각이요. (초멘이요~ 반가워요!)
1211,"배달앱별 일간 활성 이용자수(DAU)
;Daily Active Users.중복방문자를 개별인원으로 처리X.
11월1일(월)-위드코로나 첫날.
배달의민족- 461만
요기요- 110만
쿠팡이츠- 68만

(일주일전 인 10/25)
배달의민족- 506만
요기요- 127만
쿠팡이츠- 69만
#미래_메모"
1212,위드 코로나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1213,"'달고나 만들고 공연도 보고!' 태안군 전통시장 힘찬 '기지개': 코로나19로 침체돼 있던 태안군 전통시장이 단계적 일상회복을 맞아 기지개를 켠다.군은 이달부터 12월까지 태안 동부시장과 서부시장, 안면도 수산시장 등 전통시장 3곳에서 작은음악회와 경품행사, 벼룩시 https://t.co/j4I7yPKbmG"
1214,"아이고  항상 늦게까지 열심히 하시던 분 계시는데 백신패스 실행일부터 안보이셔서 접종 못해서 못오시는줄 알았는데 주차장에서 후진하는 차에 다치셨대ㅜㅠ
하  진짜 조심들 안하는겨"
1215,"단계적 일상회복 되고 밤 어케 샘?

또 생겼나"
1216,정부에서 방역강화 검토중이라고 한다 생각보다 위드코로나가 생각보다 빨리 끝나고 다시 거리두기 할 것 같고 그리 되면 우리 집회도 1인 시위와 트럭으로 가고 백브리핑 에서 주최될 예정인 행사도 무산 될 것 같다~ 그럼 답은 하나다 가처분 2심 소송 날짜가 정해지고 인용 받는것 뿐~
1217,@ez_jaehyun0214 근데 만 16센가 ㅁ만은 백신패스가 음성 적용이라 되지 않음?
1218,"위드 코로나로 수영 시간이 5분 늘어나 원복됐는데, 그 5분 때문에 아침에 졸립다."
1219,"11월 18일 23시 (11월 18일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 29 명
[재원 위중증] 506 명
[신규 입원자] 566 명
[오늘 확진자] 3,292 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
1220,"'위드 코로나' 로 해외여행 수요가 늘고 있다. 인천공항 국제선 여객도 지난달  30만명대를 회복했다. 비자(비자카드)측 조사에 따르면 우리 국민 10명 중 3명 이상이 1년 내 해외여행에 나설 의향이 있다고. 선호지는? 하와이와 호주, 독일, 러시아, 미국, 필리핀 순? 진짜? https://t.co/F9VvaAm2wr https://t.co/kAmnjolTxK"
1221,"한국 코로나 획진자 폭증!
하루 3,000명대 진입
곧 5,000명대로 전망
일본은 100명대
1년전 한국이 일본 되고
일본이 한국 됨
이거 다 민주당과 이재명 때문
조기경선 밀어부친 결과이고
총리 김부겸마저 방역수칙
어기더니만 ㅠ ㅠ
위드코로나 포기하고
대선 연기해야!
이재명 야구장 입장 금지!"
1222,"내가 문재인 싫어한건 아니라서 세월호 진실 밝힐거란 믿음에 찍어줬는데.
세월호는 뒷전이고 평화놀이하더니 국보법도 그대로두고 이젠 백신으로 자국민 대량 학살에 백신패스로 노예 다 만드네.
이거 우째 감당할라고..."
1223,"ㅎㅎ위드 코로나 좋다
난 운동하러~~ https://t.co/wVXcqeREwy"
1224,위드코로나 해제...다음주부터 거리두기 4단계 ... https://t.co/0Q1Qj50tIn
1225,"@KoreaDCA 정확한 용어 맞군요.
'추가접종과 단계적 일상회복'이란 단어
사용에 동의합니다~^^"
1226,@mbbsajangnim 수원 백신패스관이라 나 못가서 걍.. 포기해써….
1227,"“위드 코로나” 아니예요!
“단계적 일상회복”

모호한 표현 대신, 방역을 포항한 표현 “단계적 일상회복”

기존 사회적거리두기 등 방역관리를포기하는 것이 아니라 우리 의료대응체계가 감당할수있는 범위에서 기존방역조치를 점진적으로완화하면서안전하게일상을회복하는과정 https://t.co/iA5TPzAxZV"
1228,"수도권 2370명, 78%…천안 종교공동체 마을서 42명 추가
'확진자·위중증·사망' 지표 최악…정부 ""비상계획 검토중""

""문재인 '위드 코로나'는 완전히 헛발질""
""'거리두기' 강화하라!"" 국민들 아우성
 https://t.co/ObpGL9XYBU"
1229,백신패스시발 진짜 그지랄할거면 도입을하지말던가
1230,나 위드코로나 쓸라고 보니까 영어가 아니더라 ;; 너무 자연스럽게 쓸라고햇어 ... 난 맨날 보는거고 영어니까 당연히 영어인줄 ㅜ 그니까 영어긴한데 일본식 영어임
1231,"신세계 센텀시티
8층 골드문트
단계적 일상회복 프로젝트
12월 크리스마스의 감동과 즐거움을
미리 준비하셔야죠?
Muso for Bentley Special Edition으로
크리스마스의 감동과 즐거움
골드문트매장에서
체험이 가능합니다.
신세계 센텀시티 매장 오픈 4주년 특별함까지??
https://t.co/KWYAeiTwtF https://t.co/pZaP2EZMSD"
1232,한동안 확진자 수치 안봤다가 오늘 봤는데 확진자 4천 넘은거 보고 진짜 너무 놀랐음 위드코로나 안하면 안됨? 이렇게까지 위험부담을 하면서 위드코로나 하려는 이유가 뭐야
1233,단계적 일상 회복인 거지... 걍 생각 없이 돌아다니라는 말이 아니라고요 ㅠ
1234,"@12151OO4 @F_L_PARADISE_ ㅅㅂ이쪽으로 오세요~~!!  티켓확인과 예매자분 신분증먼저확인하겠습니다~~백신패스 어플준비해주시구요 ,  카톡 네이버 쿠브 다 가능합니다 네네~ 확인되셨습니다 다음분 이쪽으로 오세요~무한반복일듯ㅠㅠㅠ"
1235,"일본2 대만 태국 베트남 가봤는데 
요즘 위드코로나로 풀리고 하니까 다시 여행가고싶어진다악"
1236,@dew_0822 위드코로나 하늬까 확진자가ㅋㅋ..
1237,"4주차 접어든 ‘위드 코로나’ 갈림길…김 총리 “수도권, 급박한 상황” (출처 : 국민일보 | 네이버 뉴스) https://t.co/M5ttGhYd99"
1238,"글고 단계적일상회복의 모든 전제조건은 백신접종률과 확진자 추세, 방역대처능력이므로 무탈하게 개최될 수 있도록 방역수칙 잘 준수하며 건강관리 열심히 해보아요~"
1239,"11월 14일 15시 (11월 14일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 20 명
[재원 위중증] 483 명
[신규 입원자] 465 명
[오늘 확진자] 2,419 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
1240,그래서 백신 패스 있잖아요 영화관 잘돼있던데
1241,"@fear_lef 진짜 위드코로나 학교 젤 위험해 ,,,"
1242,"6 그런데 문제가생겼습니다.
미국항소법원에서 백신강제는 개인권침해라며 행정부의이의를 기각했습니다.
여기에대한 저의 개인적인 생각을 말하고싶습니다.
지금 백신접종 필요한것은 사실입니다.
높은백신접종률이 위드코로나를 가능하게하고 코로나종식에 더 가까이가게하는것은 맞습니다."
1243,"위드코로나되고 난다음에 작업실 밑 닭발집 줄서서 먹네,.,. (이해불가) 그리고 방금 누군가 계단에서 우우욱 토하는 소리를 라이브로 들었다^^^^^^ 집에 가고 싶다^^^^^^^ 여긴 정말 쟈밌는 동네야홓ㅎㅎㅎ^^^^^^^^^^퓾퓨퓨퓨퓨ㅔㄹㄱ"
1244,그냥 시민의식을 너무 높게 본 거임 ㅋ... 단계적 일상회복=와 존나 모이자! 토익 800점도 안 나오지만 양놈 명절에 사람 존나 많은데 가서 술 먹자! 회식하자!(특: 거리두기 때도 사람 많은 게 가서 술 처먹고 놀았음) 인 인간들이 태반인데 ㅎㅎ https://t.co/XblHHb7gDk
1245,날씨 너무 추워.... 백신패스때문에 헬스도 못가고 넘 힘들어
1246,"확진자수가 2~3천을 웃돌기도 함
그래 위험한거 알지 안다고.
하지만 우린 프그프 관중처럼 마스크벗고 소리지르거나 하진 않잖아 방역수칙도 완전 잘지키잖아.
소리지르는 사람있음 주변인들이 가만 두겠어? 위드코로나(단계적일상회복)하려고 다들 애쓰고있잖아.
접종증명제도 도입해서 직관좀하자."
1247,"2. 단계적 일상 회복과 함께하는 지스타 2021 첫 날 입장 &amp; 부스 대기 실황 @gstar_official_ 

https://t.co/D6RN2NBYNP"
1248,시발 위드코로나......... 내 수험표 시발... 아무 혜택도 못 받고 끝나겠네..
1249,"@grape_garden_ 오프모임..
위드코로나가 시작된다면 어떻게든(????) 그치만 전 랜선쨘도 조아요 저는 술을 못먹으니 무언가의 음료로 대신하게 되겠지만...... 술마시는 이오나(갑자기?)"
1250,@highlight4_S2 맞아... ㅜㅜㅜ 아직 조심해여해ㅜㅠㅠ 위드코로나 없어지면 이거 좌석도 바뀌려나... 저번에 나.아는언니 코로나 단계 높여서 재예매 햌ㅅ다던디ㅜㅜ
1251,아 ㅋㅋ 서울까지 올라가서 새벽까지 술처마신 새끼가 밤새고 내려왔달래 ?? 싶어서 보니까 마스크도 내리고있네 개자식이?  백신패스인곳 가서 마셨다 ㅇㅈㄹ ㅋㅋ 안걸린다고 걸리면 지 동생이 많아서 큰일난다는데 아는새끼가 그래? 또라인가?ㅋㅋㅋㅋㅋ
1252,"코로나 감염 측면에서 사우나가 여전히 위험한 것 같습니다. 

돌파감염자가 무증상 상태로 들어오면 백신패스가 소용 없네요.

주변에서 이런 일이 일어나는 걸 직접 보니 더 조심스럽습니다."
1253,"영화 백신패스관 예매햇고든
배라 사들고가서 먹으면서 보는
하이틴 클리셰 같은 짓 해보께
어쨋든 미국 고등학교 나오는 얘기니까..."
1254,"은평구 불광2동, '자동차 극장'과 '주민보고회' 동시 개최: 은평구 불광2동 주민자치회는 코로나19 장기화에 지친 주민들에게 힐링할 수 있는 ‘드라이브 스루 자동차극장’과 ‘주민보고회’를 오는 20일 함께 개최한다.최근 단계적 일상회복(위드 코로나) 방역체계 https://t.co/7OffuoOABQ"
1255,위드코로나 시발 실내 체육시설 풀려서 운동을 다시 11시 넘어서 끝내줌 집에오먄 12시
1256,이러다 위드코로나 전으로 돌아가겟네 https://t.co/uS6p2Xypcw
1257,@yourlilyso 천명 밑으로 안 떨어지고 위드코로나 되기 바로전에 할로윈인데 저도 이렇게 될 줄 알았어요 하 진짜
1258,8. 어….그리고 교리에 한인이 아니라 그냥 아시안 자체가 거의거의거의거의 없습니다. 진짜 없고요. 저는 우연히 한인 한분 만났는데 (은희언니 아님) 그 분말고는 아시안을 본 적이 없어요. 위드 코로나되면 또 모르겠지만 그 흔한 중국인도 없음…
1259,"[YTN]싱가포르의 '단계적 일상회복', 엄격한 방역조치는 여전 
발행일시: 2021-11-21 04:12 
https://t.co/XgXsKhY7BC 
 
#뉴스 #최신뉴스"
1260,"임신 준비해서 백신 미뤘는데 '권고사직'…방역패스 부작용 https://t.co/OqPm8kg4J0
이미 목욕탕, 유흥시설, 노인여가복지시설 등에서는 방역패스가 의무화됐다.

어휴 ㅠㅠ 😮‍💨"
1261,"위드코로나 되자마자
진짜 귀신같이 회식 잡는다니깐 .. .."
1262,"단계적 일상 회복 한다고 했었구나.
마스크는 꼭 쓰고 다녀야겠제."
1263,"#병상부족 비상사태🚨 지금 당장 병상⋅인력 확보하라🏥👩🏻‍🔬
정부가 단계적 일상회복을 발표한지 3주만에 확진자가 3,000명을 넘어섰고 위중증환자가 증가하고 있습니다. 코로나19 발생한지 2년, 여전히 병상이 부족해 시민들이 희생당하고 있습니다. #불평등끝장넷 https://t.co/PydRax4oLN https://t.co/kRzb07XT6L"
1264,@s820125_right 맞아요 ㅠㅠ 완전 난리예요 ㅠㅠ 위드코로나..ㅠㅠ 안됐어야 했나.. 하니.. 사람들도 더 안지키는거 같아요 ㅠㅠ
1265,요기패스란말 백신패스에서 따온거 같고 좀 별로.
1266,무엇보다 좋았던것.. 백신패스관 가서 카라멜팝콘 먹으면서 봄 ㅠㅠㅠㅠㅠㅠ 하 이게 얼마만이었지. .... 근데 정작 영화 시작하고 나서는 내용에 집중하느라고 하나도 못먹은게 함정 ㅋㅋㅋㅋㅋ 반은 버렸다 ㅠㅠ 아까비.. https://t.co/qrhZbTztGY
1267,@12151OO4 @F_L_PARADISE_ 아직몰러ㅜㅠ근데백신패스땜에 걱정되긴함
1268,위드 코로나 인데 확진자수 집계하는게 무슨 의미가 있음? 중증 환자만 집계해야지 https://t.co/L86hv5gSKi
1269,[코로나19] 본격 시작된 단계적 일상회복! 방역패스 발급 방법과 혜택을 총정리해 보았어요~ ⇒ https://t.co/dqLGtiXDTX https://t.co/PBVlSN56fr
1270,"👤: 뭐야 쟤 왜 저래?
ㄴ 냅둬 확진자수 폭증으로 인한 단계적 일상회복 중단으로 인해 최애의 2년만의 대면콘서트가 취소된 케이팝덕후래… https://t.co/qghQbdllR4"
1271,와 코로나 4천명 넘었네 이제 위드코로나고 뭐고 때려쳐야 하는거 아니야...?...=v=...💦
1272,"위드 코로나 하니까 회사에서 회식하고 난리..
하... 진짜 화나네"
1273,"이재명 ""소상공인·자영업자에 세계 평균 넘어서는 보상해야"" 
https://t.co/4N33QVx9OB 
민주당 주최 단계적 일상회복 점검 간담회
""일상회복 추진시 중증환자 대비책 매우 중요""
""민간서 감당 어려운 공공의료 영역 대규모 확충해야"""
1274,단계적 일상회복이니 이제 짐도 슬슬 가볼까 싶어지..는데 다시 고로롱 확산세가 심상치않네
1275,"실내체육시설도 방역패스 본격 적용…형평성 논란 여전  https://t.co/RuVT95zW3s 

백신패스?

성소수자도 차별안하는데..

백신접종하고도 걸리는 코로나19를
백신 안 맞고 감염관리 철저히 하는 
미접종자는 왜 차별해?

백신 맞고 걸리는 자들은 좀비인가? 
무려 돌파감염이 60% 내외인데!"
1276,"#강경호이야기 = 이영희, 이진록, 설경철, 박일용, 이도 #위드리얼리즘 #WITHRealism ""친숙한 리얼리즘의 토대 위에 구축된 작가의 예술성과 시대정신은 '위드코로나 시대'를 살아가는 우리에게, 작은 쉼표 하나 건네주며 위로한다. #뉴스부산ART https://t.co/sGsr56f5T4 https://t.co/Jw8vWEvHk5"
1277,"신세계 센텀시티
8층 골드문트
단계적 일상회복에
필요한 것이 있다?
네임 Muso for Bentley Special Edition,
Muso Wood Edition, Muso 2nd, Muso QB2
중에 하나만 있으면 돼!
일체형오디오 이 음질 실화??
코로나 델타변이 확산으로
안전한 댁에서 코로나블루 해소 필수템
https://t.co/L58t05rvqb https://t.co/XJIhWczAle"
1278,"https://t.co/pLju6dMcjN
위드 코로나.
뉴스는 그저 빙산의 일각.
중환자비율이 높은 대형병원은 그야말로
헬게이트가 열렸습니다
속수무책으로 늘어나는 확진자와 돌파감염으로 곳곳이 코호트격리되고 의료진 자가격리 발생이 심각합니다
모두를 위해 느슨해진 개인 방역에 힘써주세요.😷"
1279,"서울시가 11월부터 위드코로나를 맞아 유아숲체험원 5곳을 재가동하기로 했다고 합니다. 이곳에서 아이들과 함께 추억 쌓는거 어떠세요?

[평범한미디어] 아이들에게 게임 대신 '숲과 자연'을 선물하세요 https://t.co/1NnTyLN5Yc"
1280,@IIDX_FALSE 위드코로나 첫 지스타잖아 그리고 원래 전국에서 오는 축제고 ㅋㅋ
1281,"청송군, 위드코로나 시대 힐링관광도시로 거듭  / 브레이크뉴스  https://t.co/irPEverye4"
1282,위드코로나 하고 진짜 난리났음 결국... 겨울이라는 시간적 특성도 영향을 줬겠지만 음흠... https://t.co/MIC0Jx875O
1283,"김 총리 “수도권 방역 급박한 상황…‘위드 코로나’ 중단 검토”
https://t.co/kQx7tF8RmB"
1284,"요즘 알바하면서 느끼는건데 위드코로나 라서 그런가 요즘에 손님 너무 많이 옴... 
없는것 보단 낫긴한데 퇴근하면 다리아픔"
1285,"사람많다;
위드코로나 팍 실감되네 https://t.co/BNqnIps6Be"
1286,"확진자 4천명을 육박해도 위드코로나라면서 왜 지하철 감축운행은 재조정 안함? 
https://t.co/lxrBLXJkEW"
1287,위드코로나고 나발이고… 확진자 엄청 늘어날 것 같더라 그래ㅡㅡ
1288,"위드코로나 아니고 단계적 일상회복!! 글자수때문인지 너도나도위드코로나하고있음;;;
  
위드코로나=코로나 끝난 것처럼 풀어져도 된다는 게 아니라고ㅠㅠ

지킬 건 지키면서 단계적으로 일상회복하라는 거지ㅠㅠ 근데 단계상관없이 안지키는사람들은 지들멋대로 했잖아 ㅗㅗ"
1289,"백신 맞은 뒤 숨진 고3 ＂인과성 없어＂...접종 적극 권고 https://t.co/0ePzh9BUJv 

백신 접종 이후 심각한 부작용은 극히 드물다며, 10대 소아·청소년도 백신을 맞는게 이득이라고 '백신 패스'📌 검토

방역당국 “백신 접종 뒤 숨진 고3, 백혈병서 기인한 뇌출혈” / 한겨레 https://t.co/vpKBmHnmxc https://t.co/69VhO6IE4C"
1290,위드코로나할거면 각오한거아님? https://t.co/3vg8nswUPi
1291,"2)  단계적 일상회복 1단계가 시작되면서 언제든 확진자 수가 폭발적으로 증가될 수 있는 상황인 만큼, 기존보다 더 철저히 기본 방역수칙을 지켜주시기 바랍니다."
1292,@CarpediSamYu 칼페쌤🥺🥺 힘내요😭😭😭😭😭 지짜 위드코로나시국에 왜 괴롭혀😡😡
1293,@La_bokki 단계적 일상회복이지 코로나랑 함께 하는 일상같은 삶^^! 이 아니라고.. 아직 일상회복 아니라고ㅠㅠ
1294,"(기사 댓글) 근데 정말 아이들한테 안전한건가요? 저희 동네 14세 아이📌 화이자 맞고 죽었어요ㅜㅜ 근데 뉴스에도 안나오고 주변에서는 쉬쉬하고 있습니다.그부모 심정이 어떨지 상상이 안가요....

어린이집도 백신패스‥＂청소년 백신 접종 적극 권고＂ (출처 : MBC) https://t.co/jmYHx3ZcnZ https://t.co/WSVazrs5CO"
1295,제주 ‘위드코로나’ 독일까?...연일 ‘두 자릿수’ https://t.co/5aWPjlWyqs
1296,"'위드코로나' 2부 - 백신 그 후, 신뢰의 균열 - 후반부 - PD수첩 MBC 2021년11월23일 방송 https://t.co/jsP07LSA70 출처 @YouTube"
1297,위드코로나 이대로 괜찮은가? 복직하자마자 또 지옥의 뺑이치기가 시작될 것 같은 무서운 예감😔 나오는 건 한숨뿐...
1298,"아니.. 하.. 그래서 위드코로나 하겟다고 말겟다고 지금
나 지금 의사결정할 거 잇다고...."
1299,"11월 22일 19시 (11월 22일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 24 명
[재원 위중증] 515 명
[신규 입원자] 592 명
[오늘 확진자] 2,827 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
1300,"@sky1004hj 위드 코로나 진짜 아닌것 같아요 
어우 힘드셔서 어째요 ㅠㅠ"
1301,위드코로나는개뿔
1302,"11월 25일 00시 (11월 24일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 34 명
[재원 위중증] 586 명
[신규 입원자] 660 명
[오늘 확진자] 4,115 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
1303,다른 어떤거 보다 내가 원하는 가장 큰 선물은 코로나19 타령을 멈추고 백신패스가 사라지는 것 오직 이 하나만 해결되면 다른 선물은 필요없어요
1304,@meangu__00 앜ㅋㅋㅋㅋ 지금 백신패스관은 음식물 섭취 가능이에여 샘 !! ㅎㅅㅎ 나쵸.. 맛있나여? 팝콘은 맨날 남기는데 나쵸는 양 적당한가용?
1305,아미분들 위드코로나 되고 첫 오프 콘서트이니 첫날부터 신나게 소리지르시다 오시고 마지막날까지 멤버들 보면서 즐기고 오셔야되고 가서 찍으신 사진 꼭 트위터에 올려주시고 영상도 찍으셨으면 그것도 좋고요 첫콘 너무 보고 싶지만 하이브 개새끼가 안 올려준다니까 아미분들이 올려주세요 사진도
1306,@wkw2000 저도 그냥 달렸습니다. 남들 여행가는데 한번도 안간다고.. 직장땜에 어딜 못 가게해서 위드코로나겸 출발한거죠
1307,"아무리 거리두기 풀어졌고 위드코로나 ㅇㅈㄹ하면서 사회가 그러지만
제발 약속잡고 나가지마……..
술약속 잡지마
외식잡지마
걍 어디 외부일정을 잡지마…(꼭 필요한거아니면)"
1308,"위드코로나라고 아파트에 장터 섰는데 다코야끼 줄만 겁나 길어
하지만이겨냄쟁취하고만다"
1309,"니가선택한 위드코로나다
악으로깡으로버텨라"
1310,위드코로나인데 격리는 이렇게 해야 한다면 다들 제정신이 아니게 될 것이야
1311,"4부: 뭉 정권, 「위드 코로나」 위중증・사망자 관리 말했다가 스스로 폭탄 맞았다…응급실서 죽어가! (2021.11.16) [정치분석] https://t.co/BGLxkYklG7 출처 @YouTube"
1312,@tm3679im 아무랴도..? 코로나 때문에 노인정이나 그런 곳도 다 닫았엇구 위드라 해도 제한..이 있나? 그건 찾아봐야할 덧ㅠㅠ 보통 독거노인 분들이 시설 잘 이용하시거나 서비스 받는데 그런거 줄엌들었으면 아무래도 싦의 질이 낮아졋을 듯? 하아아...나도 이거 주제로 과제해야하는데 개싫다.. 타마화이팅..
1313,위드 코로나 시대 더 주목받는 해외 여행지 10 곳 (출처 : 네이버 여.. | 블로그) https://t.co/1B9kAO80Zg
1314,@398crystal 위드 코로나 안 한다는 얘기도 들려서 모르겠다
1315,"'부스터샷' 사실상 의무화..""사망자 쏟아진다. 재택치료 당장 중단해야""

백신 늦게 들어올 때는 못맞아서 다 죽는다고 난리.
전세계가 부스터 샷 맞는데 이젠 주사 맞아서 죽는다고 난리.
국민들 무지 할 거라고 구라치지 마라.
미국도 방역패스 유효기간 1년이다.
 https://t.co/de56oQ1G1V"
1316,"ㅋㅋㅋ
이래놓고 위드 코로나 이지랄"
1317,코로나 걸려서 다 죽어 나가는것도 아니고 그렇다고 확산감염통로도  확실히 밝혀지거나 변이에 대해서도 아무것도 모르자나 돌파감염 원인도 모르는거고 제다 모르는데 깨놓고 마스크착용 손씻기가 백신보다 더 효과적이고 안전한거자나 그러니 위드코로나 자가격리 해제 조심해서 100이 아닌데 말야
1318,"어제 저녁,
금정구청에서 온천천 장전역 부근에 문화축제의 일환으로 유등축제를 소박하게 준비하였서 구경하고 왔다. 위드코로나의 일환으로 조금씩, 조심해서 시행하는 금정구청(@smile_geumjeong)의 노력을 응원한다. https://t.co/DAZPpvmJ4j"
